pmid,Intervention,labels,detail
32872748,"['anti-gout medication (allopurinol, colchicine, benzbromarone)']",['Drug'],{}
32856209,"['Methylprednisolone 16 mg ×2/day for 7 days', 'Placebo']","['Drug', 'Control']",{}
32803728,"['Good Pain Management (GPM) program', 'Control arm']","['Educational', 'Control']",{}
32779011,"['edible artificial saliva gel (OMJ)', 'topical commercial gel (GC dry mouth gel)']","['Drug', 'Drug']",{'topical commercial gel (GC dry mouth gel)': [{'dosage': '500 mg (pea-sized drop)'}]}
32739562,['Psychotherapy trial (not described in detail)'],['Psychological'],{}
32734457,"['68 Ga-prostate-specific membrane antigen (PSMA) positron emission tomography/computed tomography (PET/CT)', 'PSMA-PET-positive', 'PSMA-avid lesions (SUVmax ≥ 8.0)', 'PSMA-TB via a single-puncture percutaneous transgluteal approach', 'TRUS-GB']","['Drug', 'None', 'None', 'Surgical', 'Surgical']","{'PSMA-TB via a single-puncture percutaneous transgluteal approach': [{'surgical_technique': 'single-puncture percutaneous transgluteal approach', 'local_anesthesia': '1% lidocaine'}]}"
32732334,"['EarlyCDT-Lung test', 'Low-dose CT scanning']","['I_Other', 'Surgical']",{}
32681304,"['Enhanced survivorship care plan', 'Patient Education Resources for Couples (PERC)', 'Standardized survivorship care plan']","['Educational', 'Educational', 'educational']",{}
32679601,"['single-bite endoscopy technique', 'double-bite endoscopy technique']","['Surgical', 'Surgical']",{}
32675015,"['abiraterone acetate', 'dasatinib', 'sunitinib']","['Drug', 'Drug', 'Drug']","{'abiraterone acetate': [{'dosage': '1g orally daily'}], 'dasatinib': [{'dosage': '100 mg orally daily'}], 'sunitinib': [{'dosage': '37.5 mg orally daily for two weeks followed by a week of rest'}]}"
38974296,"['Leucoreduced blood transfusion', 'Non-leucoreduced blood transfusion']","['Surgical', 'Drug']",{}
38372553,"['Ultrasound guided Erector Spinae Plane Block (ESPB) with Ropivacaine', 'Placebo']","['Surgical', 'Control']",{}
38260138,"['carbon nanoparticles-guided lymph node dissection during thyroidectomy', 'unilateral lobectomy (UL; n=283) and total thyroidectomy (TT; n=286)', 'carbon nanoparticle group', 'control group']","['Surgical', 'Surgical', 'drug', 'control']",{}
38248093,['Immediate breast reconstruction (IBR)'],['Surgical'],{}
38223648,['Resistance exercise'],['Physical'],"{'Resistance exercise': [{'exercise_activity_type': 'walking'}, {'exercise_activity_type': 'RE program for ECPs'}, {'exercise_activity_type': 'RE with pictures, words and videos'}, {'exercise_activity_type': 'resistance exercise', 'delivery_method': 'explained specific requirements, let them watch exercise videos'}, {'exercise_activity_type': 'elastic band', 'duration': '40 min', 'warmup_and_relaxation_time': '5 min each', 'RE_time': '30 min', 'sets_per_session': '2~4 sets', 'repetitions_per_set': '10-15 reps gradually reduced to 8~12 times', 'intervals_between_sets': '2~3 min', 'RM_progression': '10~15RM to 8~12RM', 'duration_of_program': '12 weeks', 'frequency_per_week': 'five times a week (Wednesday and Sunday off)'}, {'exercise_activity_type': 'RE mode, time, number of sets and reps, intensity'}, {'exercise_activity_type': 'Resistance exercise'}, {'exercise_activity_type': 'personalized'}]}"
38157081,['Four-times-daily IR tramadol capsules'],['Drug'],{'Four-times-daily IR tramadol capsules': [{'dosage': 'four times daily'}]}
38156859,"['Group Cognitive-Behavioral Therapy', 'Control group received no intervention']","['psychological', 'Control']",{}
38155164,['Multimedia-based hormone therapy information program (HTIP)'],['Educational'],{}
38145309,"['Active Music Engagement (AME) intervention', 'Audio-storybooks attention control condition']","['Psychological', 'Control']","{'Active Music Engagement (AME) intervention': [{'exercise_activity_type': 'music engagement'}, {'delivery_method': 'board-certified music therapist (MT-BC)'}, {'exercise_activity_type': 'music-based play activities', 'session_duration': 45, 'session_structure': ['Introduction/Music Selection (~5 minutes)', 'Music Play (~30 minutes)', 'Tip Sheet Review/Resource Kit (~10 minutes)']}]}"
38140289,"['Fortimel Compact Protein ®', 'standard care']","['Drug', 'Control']",{}
38138243,['Ivabradine 5 mg twice a day'],['Drug'],{}
38132376,"['OptiMal: six-week group-based self-management intervention', 'Weekly sessions']","['Educational', 'educational']","{'fatigue': [{'delivery_method': 'group-based, in-person, six-week self-management intervention delivered once per week for 2.5 h'}, {'delivery_method': 'FACIT-F measurement system'}], 'stress': [{'delivery_method': 'group-based, in-person, six-week self-management intervention delivered once per week for 2.5 h'}], 'physical activity': [{'exercise_activity_type': 'exercise and physical activity (delivered by physiotherapist)'}]}"
38131887,['program'],['educational'],{}
38123789,"['Radium-223', 'placebo', 'endocrine therapy (ET)', 'exemestane + everolimus']","['Drug', 'Control', 'Drug', 'Drug']",{}
38110544,"['High-intensity interval training (HIIT) as surgical prehabilitation', '4-weeks HIIT prehabilitation', 'No-intervention control group']","['Physical', 'Physical', 'Control']","{'High-intensity interval training (HIIT) as surgical prehabilitation': [{'exercise_activity_type': 'HIIT', 'duration': 'up to 12 sessions within a <31-day period', 'session_length': '16.5 min including warm-up and recovery phases'}], '4-weeks HIIT prehabilitation': [{'exercise_activity_type': 'HIIT', 'duration': '4 weeks', 'frequency': '3–4 times weekly'}]}"
38104066,['Transcutaneous electrical acupoint stimulation (TEAS)'],['physical'],{'Transcutaneous electrical acupoint stimulation (TEAS)': [{'dosage': '30 min'}]}
38102816,"['Laughter Yoga intervention', 'Routine care (control group)']","['Psychological', 'Control']","{'Laughter Yoga intervention': [{'delivery_method': 'small groups', 'exercise_activity_type': 'laughter yoga practice', 'duration': '2 months', 'session_length': '30 to 40 minutes', 'number_of_sessions': '12'}, {'delivery_method': 'childish games'}, {'delivery_method': 'laughter exercises'}, {'delivery_method': 'training from a professional yoga teacher with a laughter yoga training qualification'}]}"
38102530,"['PCD therapy', 'control (no text messages)', 'test group']","['Physical', 'Control', 'control']","{'PCD therapy': [{'exercise_activity_type': 'unilateral sessions at normal pressure'}, {'exercise_activity_type': 'device training'}, {'exercise_activity_type': 'arm girth measurement'}]}"
38102496,"['BRIGHT', 'Attention control (AC) - dose-and delivery matched survivorship education']","['psychological', 'Control']",{'brief cognitive behavioral therapy': [{'delivery_method': 'attention control (AC)'}]}
38099859,"['usual care', 'mailed letter with a signed order for an ultrasound', 'mailed letter with an order and a $20 unconditional incentive']","['Control', 'Control', 'Educational']",{}
38098261,"['nivolumab plus chemotherapy', 'chemotherapy alone']","['Drug', 'Drug']","{'nivolumab plus chemotherapy': [{'dosage': '360 mg'}], 'chemotherapy alone': [{'dosage': 'platinum‐doublet chemotherapy every 3 weeks for three cycles before undergoing definitive surgery within 6 weeks of completing neoadjuvant therapy', 'additional_dosages': ['paclitaxel plus carboplatin', 'gemcitabine plus cisplatin', 'pemetrexed plus cisplatin', 'vinorelbine plus cisplatin', 'docetaxel plus cisplatin']}]}"
38097783,['Disulfidptosis-related genes (DRGs)'],['I_Other'],{}
38091040,['Cardiovascular risk factor control'],['Control'],{}
38087245,"['remimazolam', 'propofol']","['Drug', 'Drug']","{'remimazolam': [{'dosage': '0.3 mg/kg'}], 'propofol': [{'dosage': '2 mg/kg'}]}"
38087207,"['Radiomic model using pretreatment T2W MRIs', 'Least absolute shrinkage and selection operator (LASSO) regression', 'Support vector machine (SVM) classifier']","['I_Other', 'Psychological', 'Psychological']",{}
38087139,"['complete mesocolic excision (CME)', 'standard resection technique']","['Surgical', 'Surgical']",{}
38070928,"['Whole-body cryotherapy (WBC)', 'Placebo cryotherapy']","['Physical', 'Control']","{'Whole-body cryotherapy (WBC)': [{'exercise_activity_type': '-85°C for 4 min 30 s'}], 'Placebo cryotherapy': [{'exercise_activity_type': '-85°C for 1 min per day'}]}"
38065853,"['Home to Hospital to Home nutrition management program', 'General nutritional method (control group)']","['Educational', 'Control']","{'General nutritional method (control group)': [{'delivery_method': 'home intervention', 'dosage': '250 to 300 mL of ONS orally at 9:30, 15:00, and 21:30 daily'}, {'dosage': 'ONS added 3 times a day in addition to regular meals'}]}"
38062421,"['Single-incision plus one-port laparoscopic surgery (SILS+1)', 'Conventional laparoscopic surgery (CLS)']","['Surgical', 'Surgical']",{}
38060453,"['4 weeks of multimodal prehabilitation', 'Supervised physical training', 'Nutritional support', 'Medical optimization']","['Physical', 'Physical', 'Physical', 'Physical']","{'4 weeks of multimodal prehabilitation': [{'exercise_activity_type': 'high-intensity interval training (HIIT)', 'dosage': 'three times a week (Monday, Wednesday and Friday) for a minimum of 4 weeks', 'resistance_training': 'three sets of 8–12 repetitions, following a predefined progression scheme, using machines (Technogym®, Italy)'}], 'Supervised physical training': [{'exercise_activity_type': 'HIIT', 'dosage': 'three times a week (Monday, Wednesday and Friday) for a minimum of 4 weeks'}]}"
38056900,"['paclitaxel q1w×12', 'doxorubicin/cyclophosphamide q2w×4', 'durvalumab (anti-PD-L1) q4w×5', 'oleclumab (anti-CD73) q2w×4 → q4w×3', '3×8 Gy SBRT to the primary tumor at week 5']","['Drug', 'Drug', 'Drug', 'Drug', 'Surgical']",{}
38051531,"['Durvalumab plus tremelimumab', 'Best supportive care alone']","['Drug', 'Control']",{}
38049622,"['talazoparib', 'enzalutamide', 'placebo']","['Drug', 'Drug', 'Control']","{'talazoparib': [{'dosage': '0.5 mg'}], 'enzalutamide': [{'dosage': '160 mg'}]}"
38049525,"['neoadjuvant chemotherapy', 'carboplatin', 'anthracycline', 'taxane']","['drug', 'drug', 'drug', 'drug']","{'neoadjuvant chemotherapy': [{'dosage': 'carboplatin added to paclitaxel after standard anthracycline/cyclophosphamide NAC'}], 'carboplatin': [{'dosage': 'added to paclitaxel after standard anthracycline/cyclophosphamide NAC'}], 'anthracycline': [{'dosage': 'standard NAC'}], 'taxane': [{'dosage': 'paclitaxel added to carboplatin after standard anthracycline/cyclophosphamide NAC'}]}"
38042812,"['clinico-biological-radiomics (CBR) model via machine learning (ML)', 'conventional PET/CT']","['I_Other', 'Surgical']",{'conventional PET/CT': [{'surgical_technique': 'nodal enlargement criterion of greater than 1.0 cm in short axis diameter on a transverse CT image of the fused PET/CT.'}]}
38042781,"['Intravenous magnesium sulfate infusion', 'normal saline', 'Postoperative patient-controlled intravenous analgesia (PCIA) device with sufentanil']","['Drug', 'Control', 'Drug']",{'Postoperative patient-controlled intravenous analgesia (PCIA) device with sufentanil': [{'dosage': '2 μg'}]}
38042525,"['Osimertinib plus platinum-pemetrexed (combination)', 'Osimertinib monotherapy']","['Drug', 'Drug']",{}
38031125,"['internal mammary nodal (IMN) irradiation', 'radiation therapy plans']","['Surgical', 'Surgical']",{}
38023825,"['Continuous paravertebral block (CPVB)', 'Continuous wound infiltration (CWI)']","['Surgical', 'Physical']",{}
38022664,"['autologous cytokine-induced killer (CIK) cells', 'S-1+oxaliplatin (SOX)']","['Physical', 'Drug']","{'S-1+oxaliplatin (SOX)': [{'dosage': 'Six cycles'}, {'dosage': 'oxaliplatin (130 mg/m2; 2-h intravenous infusion on day 1) and S-1 taken orally at doses of 80, 100, or 120 mg every day depending on body surface area (< 1.25 m2, 1.25–1.5 m2, or > 1.5 m2) on days 1 to 12'}]}"
38019227,"['Dysphagia-optimized Intensity Modulated Radiotherapy (Do-IMRT) arm', 'Standard Intensity Modulated Radiotherapy (SIMRT) arm']","['Surgical', 'Drug']","{'Dysphagia-optimized Intensity Modulated Radiotherapy (Do-IMRT) arm': [{'surgical_technique': 'step and shoot technique', 'energy': '6 MV'}], 'Standard Intensity Modulated Radiotherapy (SIMRT) arm': [{'surgical_technique': 'step and shoot technique', 'energy': '6 MV'}]}"
38018652,"['compound probiotic supplements (group BP-1)', 'placebo (group C)']","['Drug', 'Control']",{}
38016718,"['Neoadjuvant treatment', 'fluorouracil, epirubicin and cyclophosphamide', 'docetaxel/pertuzumab', 'intravenous trastuzumab or subcutaneous trastuzumab', 'trastuzumab']","['Drug', 'Drug', 'Drug', 'Drug', 'drug']",{}
38012647,"['Systems Analysis and Improvement Approach (SAIA)', 'Usual procedures']","['Educational', 'Control']",{}
37994788,"['Culturally-targeted mailer regarding possible eligibility for screening', 'Follow-up text message and additional mailing']","['Educational', 'Educational']",{}
37991939,"['anastrozole', 'tamoxifen']","['drug', 'drug']",{'anastrozole': [{'dosage': '1 mg orally once a day'}]}
37990301,"['Structured short-term psychotherapy', 'Non-specific group discussion']","['Psychological', 'Educational']","{'Structured short-term psychotherapy': [{'delivery_method': 'seminars and counseling'}, {'delivery_method': 'mindfulness meditation linked with behavioral therapy measures such as acceptance and self-commitment, specific information on anxiety, fatigue, and motivation'}, {'delivery_method': 'standardized set of questions'}]}"
37988950,"['nivolumab plus chemotherapy', 'chemotherapy']","['Drug', 'Drug']",{'nivolumab plus chemotherapy': [{'dosage': 'nivolumab 360 mg every 3 weeks'}]}
37988949,"['3 months vs 6 months of oxaliplatin-containing adjuvant chemotherapy', 'CAPOX (capecitabine with oxaliplatin) or FOLFOX (fluorouracil with oxaliplatin)']","['Drug', 'Drug']",{}
37986290,"['m6A-related miRNAs', 'Risk score']","['I_Other', 'I_Other']",{}
37980767,"['no screening', 'annual screening']","['Control', 'control']",{'annual screening': [{'surgical_technique': 'trial surgery'}]}
37976668,"['shared decision making (SDM) training', 'reminder']","['Educational', 'Educational']",{}
37976444,"['tiragolumab', 'atezolizumab', 'carboplatin', 'etoposide']","['Drug', 'Drug', 'Drug', 'Drug']","{'tiragolumab': [{'dosage': '600 mg once on day 1 of each cycle'}], 'atezolizumab': [{'dosage': '1,200 mg once on day 1 of each cycle'}], 'carboplatin': [{'dosage': 'area under the curve: 5 mg/mL/minute once on day 1 of each cycle for 4 cycles'}], 'etoposide': [{'dosage': '100 mg/m2 once on days 1,2, and 3 of each cycle for 4 cycles'}]}"
37973806,"['Indocyanine green (ICG) fluorescence imaging-guided lymphadenectomy', 'conventional lymphadenectomy']","['Surgical', 'Surgical']","{'Indocyanine green (ICG) fluorescence imaging-guided lymphadenectomy': [{'dosage': '2.5 mg', 'surgical_technique': 'LN dissection using green fluorescence imaging mode'}]}"
37966841,"['pembrolizumab', 'carboplatin', 'paclitaxel', 'pembrolizumab', 'placebo', 'doxorubicin', 'epirubicin', 'cyclophosphamide', 'pembrolizumab', 'placebo']","['drug', 'drug', 'drug', 'drug', 'control', 'drug', 'drug', 'drug', 'drug', 'control']","{'pembrolizumab': [{'dosage': '200 mg every 3 weeks'}], 'paclitaxel': [{'dosage': '80 mg/m2 weekly'}], 'doxorubicin': [{'dosage': '60 mg/m2 every 3 weeks'}], 'epirubicin': [{'dosage': '90 mg/m2 every 3 weeks'}], 'cyclophosphamide': [{'dosage': '600 mg/m2 every 3 weeks'}]}"
37965797,"['Better Life After Cancer: Energy, Strength, and Support (BLESS) program', '12-week social capital-based exercise adherence program', 'supervised and home-based exercise', 'exercise leaflets']","['Educational', 'Physical', 'Physical', 'Educational']",{'12-week social capital-based exercise adherence program': [{'exercise_activity_type': 'aerobic and strength training exercises'}]}
37962891,"['acupuncture', 'Weekly massage']","['physical', 'physical']",{}
37962699,"['remote cancer symptom monitoring and management', 'electronic patient-reported outcome measures for symptom assessment']","['Physical', 'Educational']",{}
37960236,"['SBRT alone (arm A)', 'SBRT + 6 months of ADT (arm B)']","['Surgical', 'Surgical']",{}
37960219,['Enteral immunonutrition support'],['Drug'],"{'Enteral immunonutrition support': [{'dosage': '1.26 kcal/mL and 6.65 g of protein per 100 mL'}, {'dosage': '20 kcal/kg/day'}]}"
37957750,"['Epirubicin/cyclophosphamide (EC)', 'Docetaxel (D)']","['Drug', 'Drug']",{}
37957686,"['Skin cancer prevention trial', 'Culturally appropriate and translated awareness campaigns targeted to this population']","['Educational', 'Educational']",{}
37955943,"['MGCS program plus routine care', 'weekly topics', 'emotional care', 'discussion center', 'health consultation']","['Educational', 'educational', 'psychological', 'educational', 'educational']","{'emotional care': [{'delivery_method': 'mobile app', 'training': '30-minute individual face-to-face training', 'tutorial_guide': 'video displayed initially'}]}"
37953598,"['Shared decision making (SDM) interventions', 'Oncologist training in SDM']","['Educational', 'Educational']",{}
37953532,"['water', 'liquid/semi-liquid food', 'water', 'liquid/semi-liquid food']","['physical', 'physical', 'physical', 'physical']",{}
37951954,"['Anti-PD-1 antibodies', 'dostarlimab', 'pembrolizumab', 'chemotherapy', 'Stratified by PD-L1 tumor proportion score and smoking status', 'Randomized 1:1']","['Drug', 'Drug', 'Drug', 'Drug', 'Control', 'Control']",{}
37950612,"['mHealth intervention', 'nutrition education', 'self-regulation skills curriculum', 'location-triggered app messaging', 'reflections on benefits of change', 'coach monitoring', 'involvement of a household member in the intervention']","['Educational', 'Educational', 'Educational', 'I_Other', 'Educational', 'Educational', 'Educational']",{}
37950338,"['amcenestrant 400 mg', 'amcenestrant 200 mg', 'letrozole 2.5 mg']","['Drug', 'Drug', 'Drug']","{'amcenestrant 400 mg': [{'dosage': '4 × 100 mg capsules'}], 'amcenestrant 200 mg': [{'dosage': '2 × 100 mg capsules'}], 'letrozole 2.5 mg': [{'dosage': '1 × 2.5 mg tablet'}]}"
37950162,"['one-month and three-month Microrelin injections produced by Homa Pharmed Company', 'three-month Diphereline injections manufactured by IPSEN, France']","['Drug', 'Drug']","{'one-month and three-month Microrelin injections produced by Homa Pharmed Company': [{'dosage': '3.75 mg'}], 'three-month Diphereline injections manufactured by IPSEN, France': [{'dosage': '11.25 mg'}]}"
37947140,['Neoadjuvant chemotherapy (NAC)'],['Drug'],{}
37945326,"['secondary cytoreductive surgery (SCS)', 'non-platinum single agent chemotherapy (paclitaxel, gemcitabine or liposomal adriamycin)']","['Surgical', 'Drug']","{'secondary cytoreductive surgery (SCS)': [{'surgical_technique': 'conducted by senior practitioners', 'recorded_data': ['length of the operation', 'site and number of recurrent lesions', 'site and number of lesions removed', 'amount of intraoperative bleeding and blood transfusion', 'whether R0 achieved', 'surgical complications', 'length of hospitalization', 'distance to adjuvant chemotherapy']}], 'non-platinum single agent chemotherapy (paclitaxel, gemcitabine or liposomal adriamycin)': [{'dosage': 'at least 4 cycles'}, {'dosage': 'at least 4 cycles', 'bevacizumab_usage': 'based on the researcher’s judgment'}]}"
37935428,"['BAT1706 plus paclitaxel and carboplatin', 'EU-bevacizumab plus paclitaxel and carboplatin']","['Drug', 'Drug']",{}
37934383,"['Preoperative home-based exercise training (PHET) program', 'Combines aerobic and resistance exercises with weekly telephone supervision', 'Control group (CG)']","['Physical', 'Physical', 'Control']","{'Preoperative home-based exercise training (PHET) program': [{'exercise_activity_type': 'aerobic and resistance exercises', 'delivery_method': 'weekly telephone supervision'}, {'exercise_activity_type': 'aerobic plus resistance training', 'dosage': 'walking thrice weekly, 30 min per session; resistance training twice weekly on non-consecutive days, six exercises performed for two sets of 15 repetitions, increased to three sets per exercise after the second week of the intervention; Training intensity prescribed based on RPE using Borg CR-10 scale, recommended RPE of 3–5 (moderate to strong)'}, {'exercise_activity_type': 'Combines aerobic and resistance exercises', 'delivery_method': 'telephone supervision'}, {'exercise_activity_type': 'aerobic and resistance exercises', '-999': -999}, {'exercise_activity_type': 'aerobic and resistance exercises', 'measurement_method': 'percentage of total planned training volume completed based on patient’s exercise diary'}], 'Combines aerobic and resistance exercises with weekly telephone supervision': [{'exercise_activity_type': 'aerobic plus resistance training', 'dosage': 'walking thrice weekly, 30 min per session; resistance training twice weekly on non-consecutive days, six exercises performed for two sets of 15 repetitions, increased to three sets per exercise after the second week of the intervention; Training intensity prescribed based on RPE using Borg CR-10 scale, recommended RPE of 3–5 (moderate to strong)'}, {'exercise_activity_type': 'aerobic and resistance exercises', '-999': -999}]}"
37932985,"['Targeted therapy', 'Continuous nursing intervention']","['Drug', 'Physical']",{}
37932568,"['GnRH antagonist, degarelix', 'GnRH agonist']","['Drug', 'Drug']","{'GnRH antagonist, degarelix': [{'dosage': '240 mg initial dose followed by monthly doses of 80 mg'}], 'GnRH agonist': [{'dosage': '11.25 mg at 3-month intervals'}]}"
37932566,"['Neoadjuvant electromotive drug administration', 'mitomycin C', 'TURBT', 'intravesical BCG', 'TURBT', 'intravesical BCG']","['Drug', 'Drug', 'Surgical', 'Drug', 'surgical', 'drug']","{'Neoadjuvant electromotive drug administration': [{'dosage': '40 mg mitomycin C dissolved in 50 mL sterile water'}], 'intravesical BCG': [{'dosage': '120 mg/wk for 6 weeks'}, {'dosage': '120 mg/wk', 'delivery_method': 'after complete TURBT for 6 weeks', 'start_time': '2 to 4 weeks after tumor resection'}, {'dosage': '120 mg dissolved in 50 mL sterile water retained in the bladder for 120 minutes weekly for 6 weeks starting 2 to 4 weeks after TURBT'}]}"
37923987,"['Short-course radiotherapy', 'FOLFOX', 'Conventional radiotherapy', 'capecitabine or 5-fluorouracil']","['Surgical', 'Drug', 'Surgical', 'Drug']",{'capecitabine': [{'dosage': '825 mg/m2 (twice daily)'}]}
37923752,['neoadjuvant paclitaxel with trastuzumab and/or lapatinib'],['Drug'],"{'neoadjuvant paclitaxel with trastuzumab and/or lapatinib': [{'dosage': 'weekly paclitaxel added for further 12 weeks after 6 weeks of anti-HER2 treatment (trastuzumab, lapatinib)'}, {'dosage': 'weekly'}]}"
37922279,"['Music intervention', 'Progressive muscle relaxation']","['Psychological', 'Psychological']",{}
37922071,"['Mindfulness-based intervention (MBI)', 'Physical training (PT)', 'Waitlist control condition (WL)']","['Psychological', 'Physical', 'Control']","{'Physical training (PT)': [{'exercise_activity_type': ['endurance', 'resistance', 'stretching', 'balance', 'relaxation'], 'dosage': 'Four 2-hour group sessions over eight weeks, endurance at home for 150 minutes a week, resistance for 2–3 times a week'}]}"
37919269,"['chemo-immunotherapy', 'oleclumab (anti-CD73 antibody)', 'durvalumab (anti-PD-L1)', 'weekly carboplatin and paclitaxel']","['Drug', 'Drug', 'Drug', 'Drug']","{'chemo-immunotherapy': [{'dosage': '-'}, {'dosage': 'weekly 80 mg/m2 paclitaxel, AUC 1.5 of carboplatin'}], 'oleclumab (anti-CD73 antibody)': [{'dosage': '3000 mg'}, {'dosage': '3000 mg every 2 weeks for five administrations and then every 4 weeks'}], 'durvalumab (anti-PD-L1)': [{'dosage': '1500 mg every four weeks'}, {'dosage': '1500 mg every 4 weeks'}], 'weekly carboplatin and paclitaxel': [{'dosage': 'paclitaxel 80 mg/m2, carboplatin AUC 2'}, {'dosage': '80 mg/m2, AUC 1.5'}]}"
37910655,"['Machine learning algorithms', 'Radiomics shape features', 'Clinical factors', 'Random Forest']","['I_Other', 'Physical', 'None', 'I_Other']",{}
37910523,"['Branded Enoxaparin', 'Biosimilar Enoxaparin']","['Drug', 'Drug']",{}
37907387,['home-based walking program'],['physical'],"{'home-based walking program': [{'exercise_activity_type': 'walking'}, {'exercise_activity_type': 'walking', 'delivery_method': 'Polar H10 heart rate chest strap, Polar accounts creation, online surveys using REDCap, weekly 10–15-min phone calls with exercise physiologist reviewing recorded workouts and survey data'}]}"
37907210,"['oral pyrotinib (400 mg once daily)', 'placebo', 'intravenous trastuzumab', 'docetaxel']","['Drug', 'Control', 'drug', 'drug']","{'intravenous trastuzumab': [{'dosage': '8 mg/kg in cycle 1 and 6 mg/kg in subsequent cycles'}], 'docetaxel': [{'dosage': '75 mg/m2 on day 1 of each 21-day cycle'}]}"
37906724,"['Perioperative chemotherapy', 'Cytoreductive surgery (CRS)', 'Hyperthermic intraperitoneal chemotherapy (HIPEC)']","['Drug', 'Surgical', 'Surgical']",{}
37903951,"['Tailored axillary surgery (TAS)', 'Neoadjuvant chemotherapy (NACT) setting', 'Immediate back-up axillary lymph node dissection (ALND)', 'TAS']","['Surgical', 'Surgical', 'Surgical', 'Surgical']",{}
37903590,"['adjuvant atezolizumab', 'best supportive care (BSC)']","['Drug', 'Physical']",{}
37902752,"['CAO/ARO/AIO-94', 'ARO/AIO-04', 'AIO-12', 'Treatment failure included R2 resection, local recurrence, or distant metastases']","['surgical', 'surgical', 'surgical', 'Control']",{}
37900997,"['Surgery', 'Least absolute shrinkage and selection operator regression', 'Multivariable logistic regression analysis']","['Surgical', 'I_Other', 'None']",{}
37892436,['vitamin D3 supplementation (2000 IU/day)'],['Drug'],{'vitamin D3 supplementation (2000 IU/day)': [{'dosage': '2000 IU/day'}]}
37889308,"['24-week exercise intervention', 'BEP-chemotherapy (Bleomycin, etoposide, and cisplatin combination)']","['Physical', 'Drug']","{'24-week exercise intervention': [{'exercise_activity_type': 'not specified'}, {'exercise_activity_type': 'aerobic exercise training'}]}"
37887347,"['Propofol', 'Sevoflurane']","['Drug', 'Drug']",{}
37882706,['nab-paclitaxel'],['Drug'],"{'nab-paclitaxel': [{'dosage': '125 mg/m2'}, {'dosage': '2 different dose schedules'}, {'dosage': '3-week'}, {'dosage': '3-week schedule'}]}"
37882108,"['Adaptive cognitive training (dual n-back training)', 'Active control training']","['Psychological', 'Control']","{'Adaptive cognitive training (dual n-back training)': [{'delivery_method': 'automated OSpan task'}, {'delivery_method': 'computer mouse'}, {'delivery_method': 'keyboard responses'}, {'delivery_method': 'computer-based task'}, {'delivery_method': 'online'}, {'delivery_method': 'paired t-tests (BCa bootstrapped)'}, {'delivery_method': 'Mixed ANOVAs with group and time (baseline, post‐training)'}]}"
37878313,['Randomized adjuvant chemotherapy trials'],['Drug'],{}
37874831,"['one-time colonoscopy', 'annual FIT', 'work-up colonoscopy']","['Surgical', 'educational', 'surgical']",{}
37864337,"['carboplatin/paclitaxel plus durvalumab placebo followed by placebo maintenance (control arm);', 'carboplatin', 'paclitaxel', 'durvalumab', 'olaparib', 'carboplatin', 'paclitaxel', 'durvalumab', 'olaparib']","['Control', 'drug', 'drug', 'drug', 'drug', 'drug', 'drug', 'drug', 'drug']","{'carboplatin': [{'dosage': 'area under the curve, 5 or 6 mg/mL/min once every 3 weeks for 6 cycles'}], 'paclitaxel': [{'dosage': '175 mg/m2 once every 3 weeks for 6 cycles'}], 'durvalumab': [{'dosage': '1,120 mg intravenously once every 3 weeks for six cycles (followed by maintenance durvalumab 1,500 mg intravenously once every 4 weeks)'}], 'olaparib': [{'dosage': '300 mg tablets twice daily (maintenance phase)'}]}"
37863878,"['Laparoscopic TME with DVF preservation (L-DVF-P group)', 'resection procedures (L-DVF-R group)']","['Surgical', 'Surgical']","{'Laparoscopic TME with DVF preservation (L-DVF-P group)': [{'surgical_technique': 'dissection performed posterior to DVF and thus DVF was preserved entirely'}], 'resection procedures (L-DVF-R group)': [{'surgical_technique': 'dissection of the anterior rectum was performed anterior to DVF, and the fascia was resected by an “inverted U-shaped” incision ≥2 cm beneath the tumor'}]}"
37862670,"['App-based version of cognitive behavioral stress management (CBSM)', 'Health education sham app']","['Psychological', 'Educational']","{'App-based version of cognitive behavioral stress management (CBSM)': [{'delivery_method': 'app'}, {'delivery_method': 'digital therapeutics', 'exercise_activity_type': '-999', 'surgical_technique': '-999', 'dosage': '-999'}, {'delivery_method': 'app-based'}]}"
37862103,"['Healium: brief interactive web-based decision aid for preference elicitation', 'Healing Choices: comprehensive education and decision tool as control group']","['Educational', 'Control']",{}
37861993,"['Atezolizumab plus bevacizumab, paclitaxel, and carboplatin (ABCP )', 'Pemetrexed plus carboplatin or cisplatin (PC)']","['Drug', 'Drug']",{}
37857565,"['Neoadjuvant chemotherapy combined with concurrent chemoradiotherapy (NACT+CCRT)', 'Concurrent chemoradiotherapy (CCRT)']","['Surgical', 'Drug']",{}
37856185,"['App-based electronic patient-reported outcomes (ePRO) monitoring', 'Standard-of-care monitoring']","['Educational', 'Control']",{}
37847504,"['Oral selenium', 'high-selenium yeast', 'matched vitamin E placebo', 'Vitamin E (200 IU/d of d-alfa-tocopherol) and matched selenium placebo', 'Selenium and vitamin E', 'Placebo and placebo']","['Drug', 'Drug', 'Control', 'Drug', 'Drug', 'Control']",{}
37847317,"['omega-3 acid ethyl esters', 'placebo']","['drug', 'control']","{'omega-3 acid ethyl esters': [{'dosage': '4 g/day'}], 'placebo': [{'dosage': 'matching placebo'}]}"
