,pmid,outcome,labels,full_text_values
863,40699530,"['lower progression to chronic breast-cancer-related lymphedema (cBCRL)', 'accurate detection and timely management of subclinical breast-cancer-related lymphedema (sBCRL)', 'identification of sBCRL in 209 patients', 'pre-treatment baseline crucial for accurate detection']","['Clinical', 'Clinical', 'Clinical', 'Clinical']","[['14.4%'], ['mean L-Dex score was 4.4', 'standard deviation of 7.6', '26 of 89 (29.2%) had an L-Dex score outside the standard reference range (i.e., L-Dex ? 10) at the time of sBCRL trigger', '63 patients (70.8%) would have been misclassified on the basis of absolute L-Dex scores of < 10 alone', 'mean RILVD was 4.0% with a standard deviation of 5.1%', '15 of 120 (12.5%) patients had a RILVD outside the normal range (RILVD ? 10%) at the time of sBCRL trigger', '58 of 120 patients (48.3%) had a RILVD > 5%, which may be used as a surrogate for detecting sBCRL with only a single-timepoint measure', 'Had a pre-treatment baseline not been measured, 62 (51.7%, RILVD > 5%) to 105 (87.5%, RILVD ? 10%) of TM-monitored patients would also be misclassified'], ['22.7%', 'baseline L-Dex scores and RILVD are normally distributed around a mean of approximately zero', '587 patients (48.9%) had a pre-treatment baseline L-Dex score that was negative or below zero', '89', '53 out of 89 (59.6%) had an absolute L-Dex score ? 6.5'], ['The mean L-Dex baseline is 0.0 with a standard deviation of 4.8 units', '17 patients (1.4%) had a pre-treatment baseline L-Dex < ?10, and 20 patients (1.7%) had a pre-treatment L-Dex > 10', ""{'mean RILVD': '0.2%', 'standard deviation of RILVD': '4.8%', 'percentage with pre-treatment baseline negative or below zero': '49.0%', 'reference range for RILVD': '-10% to +10%', 'percentage with pre-treatment baseline < -10%': '1.3%', 'percentage with pre-treatment baseline > 10%': '2.9%', 'total percentage of pre-treatment baseline measurements outside reference range': '4.2%'}"", '36 (40.4%) patients with a putatively normal L-Dex score of < 6.5 who would still be misclassified without the pre-treatment baseline for comparison']]"
864,40696935,"['Changes in systemic stress response markers', 'Alanine aminotransferase', 'Aspartate aminotransferase', 'White blood cell count', 'Hemoglobin', 'Neutrophil count', 'Albumin', 'Creatinine', 'Blood urea nitrogen', 'Lymphocyte count', 'C-reactive protein', 'Prealbumin', 'Neutrophil-to-lymphocyte ratio']","['Clinical', 'Clinical', 'Clinical', 'Clinical', 'Clinical', 'Clinical', 'Clinical', 'Clinical', 'Clinical', 'Clinical', 'Clinical', 'Clinical', 'Clinical']","[['No statistically significant differences were observed in the longitudinal change trajectories of ALT (P = 0.262), NEUT (P = 0.479), or BUN (P = 0.121) between the two groups.', 'Cross-sectional analysis revealed significantly elevated stress marker levels (for WBC) from baseline on postoperative day 1 in both groups, although no statistically significant inter-group differences were observed (MDday 1 = 0.23; 95% CI, ?1.03 to 1.48; P = 0.746).', 'This pattern of comparable stress response trajectories persisted on postoperative day 3 (MDday 3 = 0.62; 95% CI, ?0.43 to 1.66; P = 0.229) and week 4 (MDweek 4 = 0.51; 95% CI, ?0.13 to 1.15; P = 0.121).', 'Similarly, other stress response markers maintained equivalent fluctuation ranges between the groups.', 'P ?0.05 for all markers'], ['No statistically significant differences were observed in the longitudinal change trajectories of ALT (P = 0.262) between the two groups.'], ['Similar equivalence patterns were noted for AST (P = 0.236)'], ['Cross-sectional analysis revealed significantly elevated stress marker levels (for WBC) from baseline on postoperative day 1 in both groups, although no statistically significant inter-group differences were observed (MDday 1 = 0.23; 95% CI, ?1.03 to 1.48; P = 0.746).', 'This pattern of comparable stress response trajectories persisted on postoperative day 3 (MDday 3 = 0.62; 95% CI, ?0.43 to 1.66; P = 0.229) and week 4 (MDweek 4 = 0.51; 95% CI, ?0.13 to 1.15; P = 0.121).'], ['No statistically significant differences were observed in the longitudinal change trajectories of HGB (P = 0.929) between the two groups.'], ['No statistically significant differences were observed in the longitudinal change trajectories of NEUT (P = 0.479) between the two groups.'], ['Similar equivalence patterns were noted for ALB (P = 0.316)'], ['No statistically significant differences were observed in the longitudinal change trajectories of CR (P = 0.667) between the two groups.'], ['No statistically significant differences were observed in the longitudinal change trajectories of BUN (P = 0.121) between the two groups.'], ['Similar equivalence patterns were noted for LYC(P = 0.953)'], ['Similar equivalence patterns were noted for CRP (P = 0.821)'], ['Similar equivalence patterns were noted for PA (P = 0.660)'], ['Similar equivalence patterns were noted for NLR (P = 0.463)']]"
865,40694173,"['feasibility', 'patient-reported outcome measures (PROMs): EORTC-QLQ-C30, FACT/GOG-Ntx, NRS (pain)', 'fine motor skills, depth sensitivity, temperature sensation']","['Resource use', 'Life impact', 'Clinical']","[['50 cancer patients participated', '9 dropouts', '40', 'no significant group differences', 'The primary aim was to determine the feasibility of a 12-week preventive exercise approach for the upper limb. A total of 486 patients were screened for eligibility and 130 were invited to participate. Fifty cancer patients participated in the VISCIPH A trial before starting their medical therapy. Of the 50 participants, 20% (n = 10) had to discontinue participation (Fig. 1). Out of 960 planned exercise sessions, 874 (91.0%) were completed (Fig. 1). The exercise compliance within the group is as follows: MREX = 93.2%; PNPEX = 89.1%. The differentiated assessment was completed 862 times, corresponding to a total of 97.4%.', '22 questionnaires missing over 12-week period', 'over 99%'], ['NRS: mean increase in pain symptoms of 0.95 across both groups over the course of the intervention (PNPEX and MREX), with no significant difference between the two groups (p = 0.059; 95% CI 0.93�0.95)', 'overlapping confidence intervals suggest minor trends without one intervention being clearly superior to the other'], ['pressure sensitivity at first carpometacarpal joint: mean change = -0.6, 95% CI 0.41, p = 0.010', 'pressure sensitivity at third carpometacarpal joint: mean change = -0.45, 95% CI 0.41, p = 0.046', 'deterioration in sensory function was limited to the MREX group']]"
866,40693968,"['pathological complete response (pCR)', 'R0 resection rate', 'objective response rate (ORR)', 'disease control rate (DCR)', 'adverse events (AEs)', 'post-operative T stage', 'N stage', 'AJCC clinical stage']","['Clinical', 'Clinical', 'Clinical', 'Clinical', 'Adverse Event', 'Clinical', 'Clinical', 'Clinical']","[['22.90% (8/35) for RNPLS versus 2.90% (1/35) for NPLS', 'P<0.0001', 'TRG1 patients exhibited lower vascular density than TRG3 patients in RNPLS group, indicating ramucirumab-induced angiogenesis inhibition in responders.'], ['85.7% (30/35) for RNPLS group and 82.9% (29/35) for NPLS group', 'excluding cases of dropout and withdrawal, the R0 resection rate for both groups was 100%'], ['68.6% (24/35) for RNPLS versus 25.7% (9/35) for NPLS', 'P = 0.001'], ['94.3% (32/35) for RNPLS versus 77.1% (29/35) for NPLS', 'P = 0.055'], ['TRAE incidence was 80.0% (28/35) in RNPLS versus 88.6% (31/35) in NPLS group (P = 0.324)', 'Leukopenia: 31.40% vs 28.60%, P = 0.794', 'Neutropenia: 14.30% vs. 25.70%, P = 0.232', 'Lymphocytopenia: 8.60% vs 20.00%, P = 0.172', 'Thrombocytopenia: 14.30% vs 11.40%, P = 0.721', 'Anemia: 11.40% vs 20.00%, P = 0.324', 'Decreased appetite: 8.60% vs 11.40%, P = 0.690', 'Abdominal distension: 14.3% vs 25.7%, P = 0.232', 'Malnutrition: 25.70% vs 22.90%, P = 0.780', 'Alopecia: 20.00% vs 11.40%, P = 0.324', 'Palmar-plantar erythrodysesthesia/rash: 2.90% vs 11.40%, P = 0.164', 'Hypothyroidism: 8.60% vs 17.10%, P = 0.284', 'Hyperthyroidism: 20.00% vs 8.60%, P = 0.172', 'Arrhythmia: 11.40% vs 8.60%, P = 0.690', 'Hypertension incidence differed significantly between groups, with RNPLS group showing higher rates than NPLS group (20.00% vs 2.90%, P = 0.024)'], ['significant differences in T stage (P = 0.008)'], ['significant differences in N stage (P = 0.001)'], ['significant differences in AJCC clinical stage (P = 0.003)']]"
867,40686265,['Number of SSPedi assessments completed during the 8-week period'],['Clinical'],"[['RR 1.13 (95% CI 1.02-1.25) for participants 11�14 years', 'RR 1.15 (95% CI 1.04-1.27) for participants 15�18 years', 'RR 1.27 (95% CI 1.10-1.46) for Asian participants compared to white', 'RR 1.15 (95% CI 1.04-1.28) for non-Hispanic participants compared to Hispanic', 'RR 1.12 (95% CI 1.03-1.21) for families with a household income ?$60,000', 'RR 0.91 (95% CI 0.84-0.99) for solid tumors compared to leukemia']]"
868,40685989,"['TMD diagnosis', 'Myalgia', 'Pain degree', 'Changes in pain at follow-ups', 'Maximal incisal mouth opening post treatment']","['Clinical', 'Adverse Event', 'Clinical', 'Clinical', 'Clinical']","[['p = 0.040'], ['prevalence', 'p < 0.001', 'p = 0.028', 'p = 0.046', 'p = 0.010', 'OR 9.2 (95% CI [1.8, 47.6], p = 0.008)'], ['changes in pain intensity measured with NRS', '?2.1 [95% CI ?3.5, ?0.8, p = 0.003]', '?1.0 [95% CI ?1.3, ?0.7, p < 0.001]'], ['decreased 2.1 units more in NRS between baseline and the 6-month follow-up than the control group', '?1.0 unit more'], ['6-month follow-up: jaw exercise group decreased 5.5 mm more in MIO than the control group (p < 0.001, OR 5.5, 95% CI [1.9, 9.0], p = 0.004)', '4.8 mm more (decrease) in MIO for control group compared to jaw-exercise group at 12-month follow-up', 'OR 4.8, p = 0.005']]"
869,40683772,"['Changes in gene signature expression (?GSE)', 'Immunohistochemical Ki67 levels', 'Time to recurrence (TTR)', 'Intrinsic subtype (IS) at baseline and 2 weeks']","['Clinical', 'Clinical', 'Clinical', 'Clinical']","[['upregulation of tumour immunity signatures, including TIGIT, CD8 T-cells, inflammatory chemokines, and IDO1, alongside downregulation of proliferation, homologous recombination deficiency (HRD), TP53 surrogate mutational status signature, and ER-signalling in the POAI group', 'significant upregulation of tumour immunity and mammary stemness signatures', 'upregulation of mammary stemness, PDL1 or PDL2, macrophages, tumour inflammation signature (TIS), TGF-beta, and IDO1', 'higher expression of LumB correlation coefficients, differentiation scores, ESR1, genomic risk, and interferon-gamma signatures', 'lower expression of endothelial cells, stroma, mammary stemness, Lum A and claudin-low signatures compared to those that shifted to LumA', 'lower', 'minimal significant', 'no significant associations', 'changes positively correlated with Ki67 exhibited similar hazard ratios (HR) to the HR observed in Ki67 Cox Regression model (HR = 1�64)', 'only four signatures reached statistical significance in Cox regression models before multiple testing correction'], ['Control: mean = 28.94%, high Ki67 at 2 weeks in 96% of cases', 'POAI-treated patients: mean = 16.47%, high Ki67 at 2 weeks in 54% of cases', 'Ki67 at 2 weeks high (?10%) suggested an association with worse Time to recurrence (TTR) in univariable cox regression (HR: 2�41; CI (0�94�6�17), p = 0�07). This association was statistically significant in multivariable cox regression after adjustment for clinicopathological variables (HR: 2�81; CI (1�04�7�60), p = 0�04)'], ['significantly associated with TGF-beta expression', 'HR 0�2; CI 95% 0�06�0�72, p = 0�01', 'better TTR'], ['37% of POAI group shifted from baseline to 2 weeks compared to 14% in control groups (chi-squared test p < 0�001)', 'Within POAI group, 79% of LumB and 14% of HER2-E were reclassified as LumA during treatment', '93% of LumA tumours at baseline maintained their classification', 'LumB or HER2-E to LumA', 'shifted to LumA', 'retained their original subtype (LumB)', 'more aggressive phenotype', 'on-treatment LumA IS was associated with more favourable TTR compared to LumB', 'LumA', 'LumB', 'HER2-E']]"
870,40681723,"['PA level at post-intervention', 'exercise knowledge and intention', 'health status', 'functional capacity', 'patient engagement', 'lower extremity strength']","['Clinical', 'Life impact', 'Clinical', 'Life impact', 'Life impact', 'Clinical']","[['adjusted mean difference: 9.28 (95% CI 6.45, 12.10); p < 0.001', '2.91 (0.66, 5.17)', '1.51 (0.71, 2.32)', 'p < 0.001'], ['significant group differences'], ['significant group differences', 'EQ-5D VAS scores', 'No adverse events'], ['significant group differences', '35.15 (25.24, 45.06); p < 0.001'], ['significant group differences', '80% oncologists referred 1 or more potential participants', '89% EXSM group completed sessions within suggested timeframe'], []]"
871,40680993,"['radiographic progression-free survival (rPFS)', 'overall survival (OS)']","['Mortality', 'Mortality']","[[], ['median time from randomization to final data cut-off date: 34.27 months (min-max 26.9�42.2 months)', '60.7% in the 177Lu-PSMA-617 arm', '67.1% in the ARPI change arm', ""{'median': 24.48, 'ci95%': [19.55, 28.94], 'hr': 0.91, 'ci95%_hr': [0.72, 1.14], 'p_value': 0.2}"", ""{'median': 23.13, 'ci95%': [19.61, 25.53]}"", ""{'crossover_adjusted_hr': 0.59, 'ci95%_crossover_adjusted_hr': [0.38, 0.91], 'hr_range_sensitivity_analyses': [0.54, 0.62]}""]]"
872,40679466,"['Edmonton Symptom Assessment System', 'Problems and Needs in Palliative Care Short Form', 'Patient Satisfaction Questionnaire Short Form monthly questionnaires', 'depression', 'anxiety', 'hemorrhage', 'dysphagia', 'secretions', 'pain', 'nausea', 'appetite', 'sleep', 'dyspnea', 'constipation', 'cough', 'pain', 'nausea', 'depression', 'constipation', 'satisfaction scores']","['Clinical', 'Life impact', 'Life impact', 'Life impact', 'Life impact', 'Adverse Event', 'Adverse Event', 'Adverse Event', 'Clinical', 'Clinical', 'Clinical', 'Life impact', 'Life impact', 'Life impact', 'Life impact', 'Adverse Event', 'Adverse Event', 'Life impact', 'Adverse Event', 'Life impact']","[[], ['relationship problems with a life partner 15.38% (TM) versus 7.69% (FF)', 'challenges in discussing the illness with a life partner 23.07% (TM) versus 7.69% (FF)', 'difficulties in talking about the illness to avoid burdening others 38.46% (TM) versus 7.69% (FF)', 'perceptions of others as unresponsive when discussing the illness 0% (TM) versus 7.69% (FF)', 'struggles in finding someone to talk to 7.69% (TM) versus 7.69% (FF)', 'challenges in being involved 30.76% (TM) versus 7.69% (FF)', 'difficulties in being helpful to others 30.76% (TM) versus 46.15% (FF)', 'and difficulties in accepting the illness 23.07% (TM) versus 15.38% (FF)', 'At the end of the study, persistent social and spiritual problems related to difficulties in being helpful to others 7.69% (TM) versus 7.69% (FF), in accepting the disease 0% (TM) versus 15.38% (FF), additional expenses due to the disease 7.69% (TM) versus 23.07% (FF), talking about the disease so as not to burden others 0% (TM) versus 7.69% (FF), difficulty in being involved 0% (TM) versus 15.38% (FF), problems relating to the life partner 0% (TM) versus 7.69% (FF), finding others to be unresponsive 0% (TM) versus 7.69% (FF), and difficulties in finding someone to talk to 0% (TM) versus 7.69% (FF).'], [], ['50.83%', '100% reduction, P = 0.0318'], ['76.92%', '38.45%', '100% reduction'], ['100% reduction'], ['TM: 23.07%', 'Control: 53.84%', '100% reduction'], ['TM: 15.38%', '100% reduction'], ['TM: 100%, Control: 46.14%', '>90% reduction, P = 0.0140'], ['TM: 30.76%', 'Control: 76.92%', '>90% reduction, P = 0.0148'], ['>90% lack of, due to >90% reduction in nausea'], ['>80% improvement'], ['TM: 53.83%', 'Control: 76.92%', '>80% improvement'], ['TM: 76.9%', 'Control: 84.61%', '>80% improvement, P = 0.0100'], ['TM: 15.38%', '>70% improvement'], ['TM: 100%, Control: 46.14%', '>90% reduction, P = 0.0140'], ['TM: 30.76%', 'Control: 76.92%', '>90% reduction, P = 0.0148'], ['50.83%', '100% reduction, P = 0.0318'], ['TM: 76.9%', 'Control: 84.61%', '>80% improvement, P = 0.0100'], ['54 (TM), 63 (FF) at visit 4; 70 (TM), 73 (FF) at visit 8', '83.45 (10.18) TM vs 80.77 (5.357) FF at visit 4', '84.50 (7.878) TM vs 83.23 (4.902) FF at visit 8']]"
873,40674053,"['receipt', 'primary outcome attainment', 'communication challenges']","['Clinical', 'Clinical', 'Life impact']","[['260'], ['LCS LDCT completion among both participants currently (15 of 56 [26.8%] vs 2 of 28 [7.1%]; P = .04) and formerly (60 of 117 [51.3%] vs 6 of 59 [10.2%]; P < .001) experiencing homelessness', '48.5% (95% CI, 28.5%-68.5%) for participants with unstable housing', '35.4% (95% CI, 20.5%-50.4%) for those with stable housing', 'marginally less likely to have been reached with an LCS reminder (25 of 56 [44.6%] vs 70 of 117 [59.8%]; P = .07)'], ['significantly less likely to have had an LCS follow-up appointment arranged (19 of 56 [33.9%] vs 65 of 117 [55.6%]; P = .01)', 'Other dimensions of navigation engagement were generally lower among those currently experiencing homelessness compared with those formerly experiencing homelessness, but this was not significant.']]"
874,40664454,"['18-month progression-free survival (PFS)', 'overall survival (OS)', 'time to metastatic disease', 'toxicity']","['Mortality', 'Mortality', 'Clinical', 'Adverse Event']","[['65.5% (80% CI, 55.6% to 73.7%, p<0.1)', '66.3% (80% CI, 56.3% to 74.5%, p<0.1)', 'similar and even numerically higher', 'no difference in PFS between the PD-L1 negative and positive subgroups (median 23 vs 32 months, p=0.7075)', 'numerically higher in the PD-L1?1% group (median 15.1 months vs NR, p=0.0518)', 'PD-L1?50% group numerically had the worst PFS (23 vs 32 vs 10.8 months, respectively, p=0.478)', 'not reached (95% CI, 24.2 to NR) for non-squamous; 16 months (95% CI, 8.2 to 32) for squamous', '29.7 months (95% CI, 23 to NR) for later start group (days 29�56), compared with a median of 13.4 months (95% CI, 2 to NR) in those subjects who initiated in the first 4 weeks'], ['similar and even numerically higher', 'nearly identical in the nivolumab alone arm when comparing PD-L1 negative and positive subgroups (median 32 vs 32 months, p=0.856)', 'the OS also favored the PD-L1?1% group (median 26.1 months vs NR, p=0.0042)', 'PD-L1?50% group numerically had the worst OS (32 vs 32 vs 19.5 months, respectively, p=0.4126)', 'both PD-L1 positive subgroups had a numerically higher OS (26.1 months vs NR vs NR, respectively, p=0.0162) compared with the PD-L1 negative subgroup', 'not reached (95% CI, NR to NR) for non-squamous; 32 months (95% CI, 19.5 to 32) for squamous', 'median OS numerically favored those who started later (days 29�56), though the median OS was not reached for either group'], ['Median TTMD for the nivolumab alone arm was not reached (95% CI, NR to NR). The 18-month, 24-month, and 36-month TTMD estimates were 87.4% (95% CI, 72% to 94.6%), 84.1% (95% CI, 67.6% to 92.7%), and 79.7% (95% CI, 61% to 90.1%), respectively. The median TTMD for the nivolumab/ipilimumab arm was not reached (95% CI, NR to NR), and the 18-month, 24-month, and 36-month TTMD estimates were 86% (95% CI, 71.3% to 93.5%), 82.7 (95% CI, 66.6 to 91.5), and 77.5% (95% CI, 58.2% to 88.7%), respectively'], ['72.2% (nivolumab alone), 80.4% (nivolumab/ipilimumab) - rate of any grade TRAE', '29.4% (nivolumab/ipilimumab), 18.5% (nivolumab alone) - rate of grade ?3 TRAEs', '11.1% (nivolumab alone), 19.6% (nivolumab/ipilimumab) - rates of TRAEs causing hospitalization', '18.5% (nivolumab alone), 29.4% (nivolumab/ipilimumab) - rates of TRAEs causing treatment discontinuation', 'grade 2 or higher treatment-related pneumonitis: 20.4% on nivolumab alone arm, 19.6% on nivolumab and ipilimumab arm', 'grade 3 or higher pneumonitis: 7.4% on nivolumab alone arm, 11.8% on nivolumab/ipilimumab arm', 'no reported grade 4/5 pneumonitis events', 'median time to development of grade ?2 pneumonitis: 11.9 weeks (4.1�36.6) on nivolumab alone arm, 8.3 weeks (1.3�36.9) on nivolumab/ipilimumab arm']]"
875,40657894,"['pharmacokinetic parameters', 'exposure of SG, free SN-38, and total antibody (tAB)', 'renal impairment', 'hepatic impairment', 'age', 'tumor type', 'baseline albumin level', 'UGT1A1 genotype', 'Trop-2 expression']","['Clinical', 'Clinical', 'Life impact', 'Life impact', 'Life impact', 'Clinical', 'Clinical', 'Clinical', 'Clinical']","[['5.1% increase in CLSG', '5.3% increase in V1SG and V2SG', '%RSE < 25%', 'final free SN-38 model parameters', 'NPDEs were evenly distributed around 0 and showed no trends over time or by concentration', '0.0155 L/h for CLtAB', '2.97 L for V1tAB', '1.32 L for V2tAB', '4.1% increase in CLtAB', '4.5% increase in V1tAB and V2tAB with a 10% increase in body weight', '16% lower AUC for SG', '21% higher AUC for SG', '26% higher AUC for tAB at 105 kg body weight', 'SG exposure metrics (AUC and C max)', 'free SN-38', 'tAB'], [], ['mild renal impairment'], ['mild hepatic impairment'], ['median age of 58 years'], ['mTNBC', 'metastatic urothelial cancer [mUC]', 'HR+/HER2� mBC', '11% lower CLtAB for patients with other tumor types including small-cell lung cancer, non-small-cell lung cancer, colorectal cancer, esophageal cancer, pancreatic ductal adenocarcinoma, etc. as compared to those with mTNBC, mUC, and HR+/HER2� mBC'], ['3.7% decrease in CLSG', '6.8% decrease in CLtAB with a 10% increase in serum albumin', '21% higher AUC for SG'], [], []]"
876,40650913,"['acceptability and appropriateness of shared care', 'facilitators and barriers to implementation', 'bilateral communication between providers', 'GP training', 'support for GPs with a direct hospital-based contact person', 'clear guidance on their role', 'care coordination and logistical support']","['Life impact', 'None', 'Life impact', 'None', 'Life impact', 'Clinical', 'Resource use']","[['acceptable', 'positive attitudes', 'doubts were raised about implementation in a real-world setting', 'making shared care the standard may require more rigorous processes', 'GPs stated they were confident in providing CRC survivorship care', 'mixed', 'mixed attitudes', 'Participants were satisfied with the guidance provided within the SCORE intervention and clear on what their role in the shared care model was', 'Participants perceived that shared care would work for many, but not all, cancer survivors'], ['13 GPs and seven specialists participated in the shared care arm', 'standardized guidelines or protocols for CRC follow-up care', 'resource allocation to support care coordination and dedicated staffing time', 'policy directives that support shared care as the standard model', 'primary care being at capacity, particularly in regional and rural areas', 'long wait times for patients to see GPs', 'additional cost for patients seeing a GP compared to their specialist at a public hospital', 'reimbursement issues and lack of billing codes for survivorship care as major barriers', 'challenges in sharing patient information across different services with different IT systems and platforms', 'having a contact person at the hospital', 'having experience with providing survivorship care', 'limited experience in providing cancer follow-up care reduced GP confidence, but may be overcome with support from the hospital', 'working in isolation', 'GPs seeing few CRC survivors in their practice', 'having a point of contact within the cancer centre', 'clear guidance', 'GPs may benefit from additional training', 'specialists believe supporting GPs with resources is sufficient', 'GPs emphasising surveillance for recurrent disease', 'some points of confusion regarding expectations and roles of each provider', 'characteristics making a patient suitable including having early stage disease, low risk of recurrence and ability to self-manage', 'having a good relationship with a known GP', 'patient preference for the model of care', 'providing education for patients around the role of their GP within a shared care team, and linking patients in with a GP if needed', 'care coordinator or dedicated role required', 'technology may be helpful'], ['regular, routine reporting of follow-up care and results back to the specialist'], ['training for GPs emerged as a theme', 'additional training for GPs not required according to specialists', 'unrealistic for GPs to undergo training due to rapidly advancing knowledge and variable follow-up care', 'education for GPs about their role in shared care arrangement', ""clear guidance for GPs regarding follow-up care, when to refer back to the hospital, information regarding a patient's diagnosis and treatment, as well as any treatment side or late effects""], ['having a contact person at the hospital', 'point of contact within the cancer centre', 'having a way to contact us in an expedited fashion', 'direct contact at the hospital was considered essential by GPs and specialists alike', 'Participants described needing a direct contact person for advice, to communicate concerning results, or to refer a patient for hospital follow-up'], ['plan of what needs to be done', 'message easily�either contact us or re-refer the patient back into the system', 'giving GPs a protocol or schedule to follow', 'in black and white, what they need to do. I think most of it was done by the [survivorship] care plan', 'Participants were satisfied with the guidance provided within the SCORE intervention and clear on what their role in the shared care model was'], ['GPs be involved as part of the care team prior to treatment completion via multidisciplinary meetings or case conferences', 'doubling up on follow-up appointments', 'not knowing what tests had been done by the other provider in a shared care team', 'not having test results in time for appointments', 'correspondence delays', 'patients changing GPs', 'patients not attending GP follow-up']]"
877,40647307,"['Fried frailty phenotype (FP)', 'DII', 'plasma inflammatory biomarkers', 'body mass index (BMI)', 'nutritional status', 'quality of life (QoL)']","['Clinical', 'Mortality', 'Clinical', 'Clinical', 'Clinical', 'Life impact']","[['no statistically significant difference between intervention and control groups (p = 0.689)', 'proportion of frail patients in the intervention group decreased significantly compared with the baseline (p = 0.031)', 'prevalence of frailty in the control group showed a decreasing trend, not statistically significant (p = 0.061)', 'No statistically significant differences were observed in FP scores between the two groups, both pre- and post-intervention (p > 0.05). Furthermore, after 12 weeks of intervention, there were no significant changes in FP scores compared to baseline in either the intervention or control group (p > 0.05).'], ['�0.50 � 1.49', '-0.32 � 0.59', '0.33 � 1.33'], ['28 participants in each group underwent measurement', 'IL-6', 'IL-10'], ['21.37 � 2.85 kg/m2'], ['MNA'], ['FACT-C']]"
878,40644648,"['objective response rate (ORR) by blinded independent central review', 'confirmed ORR', 'median duration of response', 'progression-free survival', 'grade ?3 treatment-related adverse events (AEs)']","['Clinical', 'Clinical', 'Clinical', 'Mortality', 'Adverse Event']","[['28% v 7%', '109/178', '31%'], ['39% versus 9%', 'prior MEK inhibitor: 24% (95% CI, 9% to 45%)', 'no prior MEK inhibitor: 33% (95% CI, 23%, to 44%)', 'prior bevacizumab: 20% (95% CI, 10% to 33%)', 'no prior bevacizumab: 43% (95% CI, 29% to 57%)', '>3 prior regimens: 24% (95% CI, 13% to 39%)', '1-3 prior lines of therapy: 37% (95% CI, 25% to 50%)'], [], ['12.9 months (95% CI, 10.9 to 20.2)', '6-month PFS rate: 79% (95% CI, 70% to 86%)', '12-month PFS rate: 58% (95% CI, 47% to 68%)', '83% greater within 4 months with avutometinib 1.6 mg two times per week + defactinib 200 mg two times per day compared to avutometinib 3.2 mg two times per week + defactinib 200 mg two times per day (22% v 12%)'], ['anemia (5%), dermatitis acneiform (4%)', '10% of patients']]"
879,40643775,"['arm A 3.9 months, arm B 2.3 months (P=0.236)', 'arm A 16.6 months, arm B 15.1 months (P=0.355)', 'both regimes were well tolerated without significant differences']","['Mortality', 'Mortality', 'Adverse Event']","[['median PFS Arm A 3.97 months, 95% CI 3.42�4.52; median PFS Arm B 2.27 months, 95% CI 1.52�3.02 (P = 0.236)'], ['median OS Arm A 16.63 months, 95% CI 14.66�18.61; median OS Arm B 15.13 months, 95% CI 12.11�18.16 (P = 0.355)'], ['The median number of cycles in both arms was 3 series with a range in arm A from 1 to 45 series and in arm B with a range from 1 to 31 series. 83% of the patients in arm B and 41% of the patients in arm A were treated per protocol.']]"
880,40641731,"['total volume of drainage', 'length of hospital stay', 'duration of drainage', 'seroma formation', 'post-mastectomy wound infection']","['Clinical', 'Resource use', 'Clinical', 'Adverse Event', 'Adverse Event']","[['905.23 � 298.75 mL (Group B)', '437.38 � 131.26 mL (Group A)'], [], ['3.24 � 0.43 days (Group A), 4.76 � 0.70 days (Group B)', 'statistically significant difference'], ['92.9% did not develop seroma', 'no statistically significant difference between groups'], ['85.7% experienced no wound infections', 'no statistically significant difference between groups']]"
881,40641717,"['Patient pain', 'Range of movements at shoulder joint', 'Shoulder dysfunction', 'Quality of life']","['Clinical', 'Clinical', 'Clinical', 'Life impact']","[['VAS score decreased from 6 to 4 (P values < 0.001) in MLD patients', 'VAS score decreased from 7 to 3 (P < 0.001) in MRT group'], ['significant improvement', 'MRT'], ['improvement', 'MLD group (less than MRT)'], ['Increased significantly from 103.50 to 114.50 (P < 0.001) in MRT group', 'Did not increase much in MLD group']]"
882,40638018,"['Highest postoperative serum level of C-reactive protein (CRP max )', 'Recurrence-free survival (RFS)']","['Clinical', 'Mortality']","[[], ['67.2% in the CS group', '63.0% in the control group', 'Among patients with the differentiated type of gastric cancer, the CS group had significantly better RFS than the control group (HR, 0.59 [95% CI 0.36�0.96]; log-rank P = 0.03),', 'while the two groups had similar RFS among patients with the undifferentiated type (HR, 1.13 [95% CI 0.74�1.72]; log-rank P = 0.58).', 'Similarly, patients with cStage III gastric cancer demonstrated a significant survival benefit in the CS group compared with the control group (HR, 0.55 [95% CI 0.36�0.84]; log-rank P = 0.005),', 'whereas patients with cStage II gastric cancer did not (HR, 1.35 [95% CI 0.83�2.20]; log-rank P = 0.23).']]"
