Pmid,Age,Sex,Condition,Samplesize,Eligibility,Unnamed: 6
33191408,['18 years or older'],['female'],"['small-cell lung cancer (SCLC)', 'sensitive-relapsed']",,"['18 years or older, histologically or cytologically confirmed SCLC at either LD or ED, developed sensitive-relapse (time to relapse ≥3 months after completion of first-line chemotherapy), time to relapse ≥6 months who chose clinical trial treatments other than rechallenge with their original chemotherapies, at least one unidimensionally measurable lesion according to RECIST 1.1, ECOG PS 0–2, expected survival of 3 months or longer (based on the treating physician’s judgment), normal haematology (Hb ≥9.0 g/dL) and biochemistry test results (or abnormal test results which were clinically insignificant based on the treating physician’s reasonable medical judgment), excluded symptomatic brain metastasis within 3 months prior to study entry', 'The eligibility of the population under study includes patients who received at least one dose of treatment for safety analysis and those who underwent at least one tumor response evaluation for efficacy analysis. The subgroup populations were stratified by sex, age, time to relapse, baseline Hb, ECOG PS, disease stage, RDI, metastatic status, and prior radiotherapy history.']",
33186740,['Postmenopausal'],['female'],"[None, 'Estrogen receptor-positive', 'breast cancer', 'PIK3CA-mutant breast cancer', 'disease recurrence/progression']",600 patients,"[['postmenopausal'], ['HER2-negative']]",
33185928,,['female'],['completely resected stage II-IIIA Ns-NSCLC'],389 patients,"['389', '389']",
33179154,,['female'],['HER2-negative stage II/III breast cancer'],['131 patients'],"[['stage II', 'stage III']]",
33175253,['27-81 years'],['female'],"['Nasopharyngeal cancer', 'Xerostomia']",94 patients,"['All consecutive patients diagnosed with nasopharyngeal carcinoma during the study period who underwent either radiotherapy or concurrent chemo-radiotherapy and satisfied inclusion and exclusion criteria (Table 1).', '94']",
33170506,['18 years old or older'],['female'],['early-stage breast cancer'],600 patients,['lower socioeconomic status'],
33168657,['postmenopausal'],"['female', 'male']","[None, 'hormone receptor-positive', 'breast cancer', 'PIK3CA-mutated', 'advanced or metastatic breast cancer']",,"[['postmenopausal'], ['HER2-negative']]",
33161523,['61.6 ± 11.3 years'],['male'],"['colorectal cancer', 'ileostomy']",[' 38 patients'],"['Patients aged ≥ 18 years with a history of surgery for colorectal cancer, including formation of the protective ileostomy, who were scheduled to undergo ileostomy closure as an elective procedure.', 'age, sex, body mass index (BMI), active smoking, preoperative immunosuppressive treatment, incidence of comorbidities, amount of intraoperative bleeding, and surgery duration', 'The eligibility criteria for this study include patients who have previously undergone resection surgery for colorectal cancer with the formation of a diverting loop ileostomy. These patients must be either AJCC stage 0 or 1, and their ileostomy removal procedure should occur within 14 days post-surgery for those in stage 0 or 6 months post-surgery for those in stage 1, following histopathological examination results.']",
33154570,['31-76 years'],['female'],"['mCRC', 'RAS wild-type disease']",752 patients,[['KRAS exon 2 wild-type']],
33140515,['≥18 years'],['female'],['operable HER2-negative breast cancer'],,,
33136231,,,['advanced gastric cancer'],741 patients,"['741', 'The eligibility criteria for the population under study include having measurable lesions treated with weekly nab-PTX or Sb-PTX and availability of EQ-5D scores at baseline and 8 weeks. Patients receiving tri-weekly nab-PTX were excluded due to non-inferiority compared to weekly Sb-PTX and higher incidence of adverse events along with lower mean EQ-5D utility index scores.', 'Eligible patients were categorized into four groups based on treatment type and tumor response at 8 weeks: (1) weekly nab-PTX arm with CR or PR, (2) weekly nab-PTX arm with PD, (3) weekly Sb-PTX arm with CR or PR, and (4) weekly Sb-PTX arm with PD.']",
33123968,['≥18 years'],['male'],['extensive-stage small cell lung cancer (ES-SCLC)'],,['previously treated'],
33122343,['median age not provided'],['female'],['breast cancer'],89 patients,"[['HER2-positive', 'HER2-low']]",
33100327,['59.4 years (8.7)'],,['locally advanced pancreatic cancer (LAPC)'],['60 patients'],"['Eligible patients had histologically/cytologically confirmed inoperable locally advanced pancreatic cancer with maximum diameter 7 cm or less, performance status (PS) 0–2.']",
33087330,['≥18 years'],['male'],"['metastatic colorectal cancer', 'RAS/BRAF-unselected']",242 patients,"['The eligibility criteria for the population under study included patients who had progressed on or were intolerant to fluoropyrimidine, oxaliplatin, and irinotecan treatment, with no prior anti-EGFR therapy allowed. Enrollment was unselected for RAS/BRAF status.', 'The eligibility criteria for the population under study include having remaining evaluable tissue (N=242). Patients without any remaining tissue who had previously been identified to have specific mutations through Sanger sequencing were also included. However, patients with no remaining tissue and a prior result that did not identify a mutation were excluded as previous assessments lacked coverage of all KRAS/NRAS codons.']",
33082202,['2.24%'],['women'],['HPV-negative'],"['5,537 patients']","['The eligibility criteria for the population under study are women aged 25-65 years old.', 'The eligibility of the population under study is women ages 25–69.', 'The eligibility criteria for the population under study include being HPV positive at baseline, age less than 40 years (for repeat colposcopy), or age 40 or greater (for excisional treatment). Women who were LBC negative at baseline were recommended for HPV and LBC co-testing at 12 months and colposcopy if either test was positive. Those with no CIN2+ detection at baseline or 12-month follow-up were asked to return for the FOCAL 24-month exit screen with LBC. Women who became ineligible due to pregnancy, hysterectomy, incomplete or invalid baseline test results, or a move outside of the province (N = 10) were removed from the trial and not included in these analyses.', 'The eligibility criteria for the population under study include being a woman, baseline HPV negative, and having at least one cytology cervix screen post-baseline HPV testing. The sample size is 5537, which represents 89% of the safety arm population.', '188 participants had screening data after 10 years with a total of 69.5 person-years contributed']",
33079411,['18 years or older'],['female'],['breast cancer'],560 patients,"['Women newly diagnosed with breast cancer (stage I – III), aged 18 years or older, with no history of lymphedema, lobular or ductal carcinoma in situ, or invasive breast cancer were eligible. Patients who received neoadjuvant chemotherapy were eligible if pre-surgery arm measurements were completed prior to first chemotherapy treatment. Eligible patients had medical clearance to participate in a mild exercise program and had an upper arm size that accommodated a standard-size elastic compression sleeve and gauntlet. Patients who underwent bilateral mastectomies, bilateral ALND, and/or bilateral radiation were ineligible, but those who had immediate or delayed reconstruction were eligible.', 'Eligible sites were providing no more than lymphedema prevention education to patients prior to being randomly assigned to intervention groups.', 'All eligible participants were registered to Step 2 ≤6 weeks after surgery.', '560 participants', 'The eligibility of the population under study includes all participants who are lymphedema-free at 12- and/or 18-months post-surgery, with no missing measurements or undetermined status. They should also be stratified by type of lymph node dissection, institution size (small: ≤ 275 new breast cancer patients annually; moderate: 276-450 new breast cancer patients annually; and large: ≥ 450 new breast cancer patients annually).']",
33079403,"['pediatric', 'aged ?2 months and <22 years']",,"['oncology', 'undergoing hematopoietic stem cell transplantation (HCT)']",174 patients,"['Eligible patients were aged ≥2 months and <22 years, receiving treatment for an oncology diagnosis or undergoing allogeneic HCT, with an eligible CVC intended to remain in place for ≥3 months. Oncology patients required a plan to receive chemotherapy for ≥3 months and could undergo autologous or allogeneic HCT during the 3‐month period. Eligible CVCs included external tunneled CVCs; nontunneled, percutaneously inserted CVCs were allowed for patients with acute myeloid leukemia or recurrent acute lymphoblastic leukemia or those undergoing allogeneic HCT.', '400 evaluable patients (200 patients per group) would be required to detect a CLABSI rate difference of 2 per 1000 central line days with 85% power and a 2‐sided alpha of .05 using a Poisson regression model. The maximum sample size was increased to 450 patients to account for ineligible patients and the loss of at‐risk days in some patients because of days without a CVC. Given the lower than expected accrual, another power analysis was performed assuming 174 patients (87 patients in each group),']",
33079393,['18 years or older'],['African American'],"['breast cancer', 'lymphedema', 'cancer']",38 patients,"['Eligible participants included women newly diagnosed with breast cancer (stage I – III), aged 18 years or older, with no prior history of lymphedema, carcinoma in situ, lobular carcinoma in situ, ductal carcinoma in situ or invasive breast cancer. Patients who received neoadjuvant chemotherapy were eligible if pre-surgery measurements and self-reported assessments were completed prior to their first chemotherapy treatment. Eligible patients also had to have medical clearance to participate in a mild exercise program and have an upper arm size that accommodated a standard-size elastic compression sleeve and gauntlet. Patients who underwent bilateral mastectomies or axillary node dissection (ALND) and/or radiation bilaterally were ineligible.', 'The eligibility process for participants involved consent and registration prior to surgery for collecting baseline measurements including height, weight, range of motion, and arm circumference. Participants also completed self-reports on demographics, lymphedema knowledge, body image, self-efficacy, fear of cancer recurrence, self-reported pain and swelling, HRQL, and adherence to lymphedema prevention practices. These assessments were repeated post-surgery and at 6-, 12-, and 18-months follow-up.', 'The eligibility criteria for population under study include women who had either axillary node dissection or sentinel node biopsy. All eligible participants registered to Step 2 met with a trained lymphedema prevention educator to review lymphedema etiology, signs, symptoms, treatments, and preventive self-care practices (i.e., education only [EO] intervention). Participants randomized to the LEAP intervention also received a physical therapy-focused intervention, in which they were assessed by a physical therapist and instructed in an individualized exercise regimen involving breathing, stretching, strengthening, and ROM exercises varying the amount of weight used, body position and number of repetitions performed based on the participant’s ability (i.e., lymphedema education plus exercise).', 'race, age, education']",
33065208,['≥18 years'],['female'],['metastatic breast cancer'],48 patients,"['The eligibility criteria for the population under study include: receiving treatment for Stage IV MBC; age ≥ 18; life expectancy ≥ 9 months as estimated by their treating oncologist; and ability to speak and read English. Exclusion criteria are cognitive impairment, ECOG rating of ≥ 3 or KPS < 60, treatment for serious psychiatric illness in the past 6 months, current engagement in yoga practice ≥ 1 day per week, and certain blood pressure or heart rate levels at baseline assessment.', '5-10 patients per group']",
33052757,['≥ 18 years'],['female'],['locoregionally advanced HNSCC'],618 patients,"['11', 'Patients age ≥ 18 years with previously untreated squamous cell carcinoma of the oropharynx, hypopharynx, or larynx, stage III-IV according to UICC TNM classification, 7th edition, without distant metastases and aimed for curative treatment with definitive RT were eligible for inclusion. Patients with oral cavity cancer who had unresectable disease or were otherwise not amenable for surgery were also eligible. Performance status of 0-2 according to WHO/ECOG and adequate renal, bone marrow, and liver function were required. Patients with severe cardiac illness, previous malignancies, pre-existing hearing loss, or pre-existing peripheral neuropathy were excluded. In women of childbearing age, potential pregnancy had to be excluded before entering the study. All patients received oral and written information about the study and signed a written informed consent before study inclusion.', '618', 'The eligibility criteria for the population under study include all patients meeting specific requirements, as indicated by the use of the intention-to-treat (ITT) population for efficacy analyses. However, six patients who were later found to be not eligible and one patient who withdrew consent before treatment started were excluded from the ITT population. The text does not provide a numeric age range or sex/gender information, nor does it mention ethnicity. Therefore, we cannot infer any of these details based on this chunk. The sample size is not explicitly stated as a final count but can be inferred to be 14 patients who underwent crossover (three in the cisplatin group and 11 in the cetuximab group).']",
33044435,['34.6 ± 6.8 years'],['female'],['elevated risk of breast cancer'],125 patients,['premenopausal'],
33037989,['45.1 years (range 20.2–54.8)'],['male'],['Hematologic malignancy'],41 patients,['18 to 55 years'],
33025372,['not specified in this chunk'],['male and female'],['cancer'],10 patients,"['18 years old, fluent in French, non-metastatic invasive cancer, completed active treatments less than a year ago, emotional or physical difficulties with an Edmonton Symptom Evaluation Scale score of at least 4/10.']",
33024268,['≥20 years'],['male and female'],['metastatic colorectal cancer'],1187 patients,['1187 unresectable previously untreated mCRC patients'],
33023785,['≥70 years'],['female and male'],['bone metastases'],250 patients,"[['breast cancer', 'castration-resistant prostate cancer']]",
33002305,['50-75 years'],['female'],['colorectal cancer'],,"['Patients were eligible if they had undergone primary CRC resection with cure prospect and confirmed pulmonary metastasis at a multidisciplinary team meeting, synchronous or metachronous discovery allowed, no active CRC indications except lung metastases, prior liver resection for metastases did not exclude entry.']",
32996842,['7 to 17 years'],['any gender'],"['relapsed/refractory cancer', None]",75 patients,"['The eligibility criteria for the population under study include: (1) age of 13 years or older, (2) location in the United States, (3) any gender, and (4) interest in pediatric oncology.', 'Eligible participants were (1) 7 to 17 years of age and their primary parent caregiver, (2) patients with advanced cancer, defined as relapsed or refractory cancer determined by parent self-report, (3) able to speak, understand, read, and type English, (4) those with Internet access, and (5) those without cognitive impairment based on coordinator determination for parents during the consent process that they were cognitively able to understand and participate, and based on parent report for the child.', '75', 'The eligibility of the population under study includes children aged 5-17 years and their parents, who completed the PedsQL 3.0 Cancer Module to measure child quality of life (QOL). Children in this age range used Child Self-Report versions, while parents completed Parent Proxy-Reports about their child.']",
32994466,['≥18 years'],,['platinum-resistant recurrent ovarian cancer'],140 patients,"['≥18 years of age; epithelial ovarian cancer; recurrent disease; measurable or non-measurable disease based on RECIST version 1.1 or GCIG criteria; ECOG performance status ≤2; remaining life expectancy of >3 months; normal hepatic, renal and bone marrow function.']",
32994107,['not specified'],['male'],,['454'],['The eligibility criteria for the population under study include being at least 18 years old and having a valid email address.'],
32969563,,,['metastatic castration-resistant prostate cancer (mCRPC)'],226 patients,"['Eligible patients had a confirmed history of mCRPC with radiographically measurable disease by RECIST version 1.1 or non-measurable disease on Tc99 bone scan. Key inclusion criteria included Eastern Cooperative Oncology Group performance status 0–2, and adequate bone marrow/organ function.', '29 patients per arm']",
32958699,['not specified'],"['european', 'female']",['metastatic colorectal cancer'],613 patients,"['KRAS WT (codon 12 and 13)', 'The eligibility criteria for the population under study include exclusion of unintentional duplicates and individuals with genotypically estimated sex not matching their self-reported gender. Additionally, genetic ancestral origin was estimated using principal components analysis, resulting in a primary cohort consisting of 613 patients of European ancestry.', 'N=613', 'n=90']",
32936981,['54 years'],['female'],['breast cancer'],50 patients,"['25 participants per study arm', 'Eligible participants were female BC patients who were: 1) self-identified Hispanic/Latina; 2) age ≥25; 3) Spanish-speaking; 4) able to provide informed consent; 5) GC/GT-naïve; and 6) eligible for genetics referral based on 2017 NCCN Guidelines.']",
32929540,['≥18 years'],['female'],"[None, 'early-stage breast cancer']",6097 patients,[['postmenopausal']],
32918131,['39-79 years'],['female'],"['EGFR-mutated advanced NSCLC', 'facial acneiform rash']",['51 patients'],"['age 20 to 79 years; Eastern Cooperative Oncology Group performance status (PS) 0 to 1; adequate organ function', '47 subjects per group']",
32916236,['37-85 years'],['male and female'],"['non-small cell lung cancer', None]",['178 patients'],"['Eligible patients were >18 years old; had a Karnofsky performance score of ≥70; and had stage IIA to IIIB disease, stage IV disease with a single brain metastasis, or recurrent tumor after surgical resection that could be treated definitively with concurrent chemoradiation.']",
32914237,['≥18 years'],['gender'],['nonmetastatic unresectable pancreatic cancer'],180 patients,"['age ≥18 years; histologically confirmed, unresectable adenocarcinoma of the pancreas; no evidence of distant metastasis as determined by computed tomography (CT) of the thorax and abdomen; and ECOG performance status ≤2.', '180']",
32911988,['67.6 ± 5.4 years'],['male'],['Prostate cancer'],59 patients,"['≥ 60 years old', '59 prostate cancer patients']",
32910094,['middle-age'],['female'],['breast cancer'],['240 patients'],"['female', '18-70 yr old female patients with stage I-stage IIIa breast cancer scheduled for adjuvant chemotherapy.']",
32886212,['18-75 years'],['male'],"['low to early-intermediate risk prostate cancer', 'Prostate Cancer (PCa)']",7600 patients,"['Men aged 18-75 years with ≤ cT2a PCa, cN0/X, M0, PSA ≤ 10 ng/ml, GS ≤ 7a, ECOG performance status 0 or 1, and IPSS-Score < 18. Treatment start within 6 months post-pathological confirmation, all primary biopsies submitted to reference pathology for second expert opinion before randomization.', '7,600']",
32881572,['27-86 years'],['female'],['advanced cancer'],209 patients,"['The eligibility criteria for the population under study include: patients with advanced (Stage III or IV solid tumor) cancer diagnosis who are at least 18 years old, ambulatory, cognitively intact, fluent in English.']",
32880094,['55 years (SD 7.2 years)'],['male'],"['curative gastrointestinal cancer', 'colon cancer']",309 patients,"['The eligibility criteria for the population under study include being on sick leave at the time treatment began. Initially, patients had to be on sick leave at diagnosis, but this was revised as it was observed that not all patients were on sick leave at first clinical contact. The adjusted criterion assumes that patients will be on sick leave once their treatment commences.', '18-63 years old, primary GI cancer treatable with curative intent, paid work at time of diagnosis, no severe mental disorder or other severe co-morbidities.', 'The eligibility criteria for the population under study is not explicitly mentioned in this chunk. However, it does provide information about the sample size calculation based on power (80%) and p-value (<0.05), indicating that a total of 216 patients were planned to be included with a follow-up period of twelve months. Considering a 20% loss to follow-up and a 10% one-year mortality rate, the final count of participants should be 309.', 'The eligibility criteria for the population under study include stratification based on gender, age (divided into two groups: 18-54 years and 55-63 years), and hospital. This was done to prevent bias due to unequal randomization and ensure equal group sizes through minimization.']",
32876479,['18 or older'],['male and female'],['colorectal cancer'],['1276 patients'],"['18 or older, fluent in English, no knowledge of diabetes or CRC risk, no personal history of diabetes or CRC', '55,000', '1,588', 'The eligibility criteria for the population under study excluded participants who completed the survey in less than 3.5 minutes, answered attention checks incorrectly, straight-lined or selected the same response for at least half of the question grids, or inconsistently answered a repeated question about their insurance status. This resulted in excluding 37 cases (2.8%) due to extreme low quality responding.', 'The eligibility criteria for the population under study include being Mechanical Turk (MTurk) workers, aged 18 years or older, having less than high school educational attainment, and being fluent in English.', 'The eligibility criteria for the population under study include being KnowledgePanel members, having specific health literacy/disease information avoidance characteristics necessary for recruitment stratification, and not providing a ""don\'t know"" (DK) response regarding either diabetes or CRC risk perceptions. Participants who answered DK to both were randomly assigned a health issue.', 'The eligibility criterion for population under study includes a standard cut-off score for assessing health literacy. Individuals with scores ≤3 are considered to have inadequate health literacy (combining both ""high likelihood of limited literacy"" and ""possibility of limited literacy""), while those with scores >3 are deemed to have adequate health literacy, as measured by the Newest Vital Sign tool.', 'sex, age, race/ethnicity, annual household income, education, employment status, marital status, family history of diabetes, CRC']",
32872748,"[None, 'aged ? 20 years']",['female'],"['gout', 'gout']",179930 patients,"['179,930 patients aged ≥ 20 years']",
32858111,['≥65 years vs <65 years'],['nonwhite'],['pancreatic cancer'],['238 patients'],['analyzable DM (diabetes mellitus) and insulin use data'],
32856209,['not updated'],['female'],"['advanced cancer', 'chronic pain', 'cancer']",22 patients,"['Eligible patients had verified malignant disease, aged 18 years or above, self-reported average pain ≥ 4 last 24 h, used opioids for moderate or severe cancer pain, and had an expected length of survival of more than 4 weeks. Exclusion criteria included severe pain (NRS 8 or above), regular corticosteroid use, recent radiotherapy or systematic cancer treatment, diabetes mellitus, peptic ulcer disease, spinal cord compression, need for bone surgery, ongoing NSAID treatment, and obvious cognitive impairment as judged by the treating physician.', '22 evaluable patients in each group.']",
32812824,['≥18 years'],['female'],['breast cancer'],['105 patients'],"['≥ 18 years of age, confirmed diagnosis of breast cancer (stage 0-III), completion of chemotherapy, surgery and/or radiation therapy (on-going hormonal therapy allowed) within 4–36 months, presence of CRF (score ≥ 4 on the Symptom Inventory).', 'n=76']",
32803728,['52-56 years'],['male'],['moderate-to-severe cancer pain'],['1:1 ratio'],"['Adult patients with moderate-to-severe cancer pain and hospitalized over 24 h were eligible and randomized into either GPM or control arm in a 1:1 ratio. Patients were excluded if they had non-cancer pain or unexplained pain based on the evaluation of their medical history, moderate-to-severe mental disorder, or received surgery within 24 h before admission.']",
32779011,['not provided'],['female'],['head and neck cancer'],56 patients,"[['post-radiotherapy', 'xerostomic']]",
32739562,['25-82 years'],['English speaking'],"['advanced cancer', 'Stage IV solid tumor cancer']",206 patients,"['The eligibility criteria for the population under study include being at least 18 years old, English speaking, having stage IV solid tumor cancer or other cancer diagnoses with poor prognosis (e.g., locally advanced but unresectable cancer), and indicating at least moderate distress (≥4) on the Distress Thermometer. Exclusion criteria are significant cognitive impairment or psychotic symptoms based on clinician assessment.']",
32734457,['45–60 years'],['male'],['elevated serum prostate-specific antigen (PSA) levels'],['120 patients'],"['120 patients with elevated serum prostate-specific antigen (PSA) levels (> 4.0 ng/ml) were consecutively enrolled and randomized into PSMA-PET and TRUS groups. Each patient was assigned a random computer-generated number, and patients with odd numbers were assigned to the PSMA-PET group and patients with even numbers to the TRUS group. All patients in the PSMA-PET group (n = 60) underwent 68Ga-PSMA-11 PET/CT.']",
32732334,['60.5 ± 6.58 years'],['female'],['lung cancer'],"['12,208 patients']","['Adults age 50-75 years at increased risk of developing lung cancer compared with the general population were eligible to participate. These were defined as current or former cigarette or tobacco smokers with at least 20 pack-years, or with a history of smoking of <20 pack-years plus immediate family history (mother, father, sibling or child) of lung cancer. Potential trial participants were identified from the electronic medical records of general practices that were located in the most socioeconomically deprived areas in Scotland or they self-referred in response to a range of advertising methods. Trial participants had no symptoms suggestive of current malignancy, terminal illness or immunosuppressant therapy and had an Eastern Cooperative Oncology Group performance status of 0–2 at recruitment.', 'n=5000', '8600 participants', 'n=598']",
32681304,['partner > 18 years'],['male'],['Localized prostate cancer'],,"['Eligibility criteria: men diagnosed with localized PC, within 16 weeks post-treatment at genitourinary and radiation oncology clinics, no other cancer treatment in last year, partner > 18 years old, not receiving cancer treatment, both partners fluent in English, and mutual consent.']",
32679601,['≥18 years'],['female'],['hereditary diffuse gastric cancer (HDGC)'],13 patients,"['Eligibility: Patients in the Familial Gastric Cancer Registry held in Cambridge fulfilling the criteria for HDGC.', '>18 years old, confirmed diagnosis of HDGC, no pathogenic CDH1 mutation identified or awaiting clarification of genetic status, clinical diagnostic criteria fulfilling a diagnosis of HDGC']",
32675015,['50-74 years'],['male'],['metastatic castration-resistant prostate cancer (mCRPC)'],180 patients,"['Men with histologically confirmed prostate adenocarcinoma and documented bone-metastatic disease were eligible. Patients were required to have prostate cancer progression documented either by PSA according to Prostate Cancer Working Group (PCWG) 2 criteria or radiographically according to modified Response Evaluation Criteria in Solid Tumors (RECIST), while being surgically or medically castrated with testosterone levels ≤ 50 ng/dL (≤ 2.0 nM). Previous treatment with docetaxel was allowed.', '180 patients']",
38974296,['≥15 years'],,['cancer'],293 patients,['Patients ≥ 15 years old who needed blood transfusion and were admitted to Uganda Cancer Institute were eligible for enrolment.'],
38372553,['ASA I-II'],['female'],"['ASA I-II', 'breast cancer']",50 patients,"['Eligibility criteria for population under study: ASA I-II female patients scheduled for BCS, body mass index ≤40 kg/m2, no history of psychiatric or neurological disease, chronic pain syndromes, recent use of opioid drug, long-term use of antiarrhythmic drug, contraindications to peripheral nerve block (coagulation disorders or treatment with anticoagulants, allergy to LAs and infection at the thoracic injection site), failure to perform ESPB or inappropriate use of PCA device.']",
38260138,['18-70 years'],,['papillary thyroid cancer (PTC)'],['569 patients'],"['18-70 years', '18-70 years']",
38248093,['≤50 years'],['female'],"['de novo metastatic breast cancer', 'metastatic breast cancer']",['682 patients'],"['female patients diagnosed with dnMBC between 2010 and 2018 who underwent immediate breast reconstruction; age ≤ 80 years; known specific cause of tumor-related death', '≤50 years and >50 years']",
38223648,['individuals aged >60 years'],['female'],['cancer'],240 patients,"['Eligibility criteria: cancer patients aged 50-87 years old, recruited from Department of Oncology at a Level-A tertiary hospital in Shanghai between September 2019 to August 2020. Both male (47.5% in EXP group, 48.3% in CON group) and female participants (52.5% in EXP group, 51.7% in CON group) were included. Disease duration ranged from 0.5 to 18 years for EXP group and 0.5 to 20 years for CON group. Recurrence was present in 37.5% of patients in EXP group and 31.7% in CON group.', '60 years old', 'The eligibility of the population under study excludes those who are undergoing psychological intervention or other sports intervention, have skeletal muscle diseases, severe cardiovascular diseases, acute or moderate-to-severe non-diabetic nephropathy, lymphedema examination and treatment, cancer survivors with lymphedema, bone metastases, and patients with possible pathological fractures diagnosed by doctors.']",
38157081,['≥ 20 years'],['female'],"['opioid use disorder', 'cancer pain', 'chronic pain']",120 patients,['no prior opioid treatment'],
38156859,['20-50 years'],['female'],['uterine cancer'],30 patients,"['30', '20-50 years, female, married, middle school degree, no neurological/psychological diseases, no chronic physical diseases, hysterectomy, adjuvant therapy (chemotherapy and/or radiotherapy), no history of psychological conditions or concomitant cancers (ovarian/cervical cancer)', 'female', '26']",
38155164,['63.6 (6.6) years'],['chinese'],['prostate cancer'],76 patients,"['The population under study consists of Chinese individuals over 70 years old who are not familiar with computers and Internet resources.', 'The eligibility criteria for the population under study include: diagnosed with prostate cancer and underwent hormone therapy only, living with their partner or significant other and agreed to learn together, able to communicate, and able to connect to the Internet and had a smartphone. Excluded are those who received radiotherapy, radical prostatectomy, or other treatments for prostate cancer; suffered from mental illness; or had an Eastern Cooperative Oncology Group Performance Status equal to or above 2.', 'n = 76', 'n = 48']",
38145309,['3-8 years'],['non-white or more than one race'],,['125'],"['Eligibility criteria: children aged 3 to 8 years, expected treatment course of at least 3 days with moderate to high intensity chemotherapy, one parent aged ≥18 years. Exclusion criteria: parent unable to read and speak English, cognitive impairment hindering child participation.', 'The eligibility criteria for the population under study include preschool children aged 3-5 years and school-age children aged 6-8 years, with their respective parents/child dyads participating in the trial. The participants were stratified by site and child age before being randomized into either the AME or Audio-Storybooks (ASB) attention control condition.', '17', '156']",
38140289,['18 -75 years'],['female'],['colorectal and lung cancer'],84 patients,"['age ≥ 18 years, histologically proven colorectal cancer (CRC) stage IIB, III or IV, non-small cell lung cancer (NSCLC) stage III or IV, scheduled for first-line chemotherapy, concurrent chemoradiotherapy or immunotherapy treatment with a planned duration of at least 12 weeks, performance status Eastern Cooperative Oncology Group (ECOG) score of either 0 or 1, able to provide written informed consent, weight loss ≤10% in the last 6 months, BMI ≥20.0 kg/m2']",
38138243,['48 years'],['female'],"['cancer', 'Elevated resting heart rate']",48 patients,['undergoing anthracycline chemotherapy'],
38132376,['≥18 years'],['female'],"['Cancer survivors', 'Breast cancer']",80 patients,"['Eligibility criteria: any type of cancer, age over 18 years, completed treatment (chemotherapy, surgery, radiation therapy) between three months and two years ago, not on long-term hormonal therapy, no communication or cognitive difficulties, no clinical depression and/or anxiety, no co-morbidities interfering with participation, fully completed study measures at baseline and three-month follow-up. Sample size: 80 individuals in total.', '16']",
38131887,['18-45 years'],,"['breast cancer', 'not specified']",,['not specified'],
38123789,['not specified'],['female'],"['advanced breast cancer', 'skeletal metastases', 'hormone receptor-positive breast cancer', 'bone-predominant metastatic breast cancer']",538 patients,"['The eligibility of the population under study includes age at least 18 years, HR+ and HER2− breast cancer not amenable to curative treatment with surgery or radiotherapy, bone-dominant disease with at least two skeletal metastases identified by bone scintigraphy and confirmed by CT or MRI, and one or more prior lines of hormonal therapy in the metastatic setting. Soft tissue and/or visceral metastases are allowed as long as the patient is not being considered for treatment with chemotherapy for immediately life-threatening visceral disease. Both studies allow postmenopausal and premenopausal patients; however, in Study B, premenopausal patients must be under ovarian suppression (ovarian radiation or concomitant therapy with a luteinizing hormone-releasing hormone agonist/antagonist). In Study A, patients must be eligible for treatment with selective estrogen receptor modulators, steroidal or nonsteroidal aromatase inhibitors, or fulvestrant as a second or later line of therapy. In Study B, they must have received prior letrozole or anastrozole in an adjuvant or metastatic setting and be eligible for exemestane + everolimus as a second or later line of therapy; patients receiving everolimus before study entry are ineligible. Prior chemotherapy for metastatic disease and prior systemic or hemibody external radiotherapy are not allowed in either study. Prior palliative radiotherapy to bone is permitted.', 'The eligibility criterion for the population under study is that they must have been receiving bone health agents, either bisphosphonates or denosumab, for a minimum duration of one month prior to the initiation of the study intervention and continue to receive these medications throughout the study period.', '227', '44% in Study A and 91% in Study B.']",
38110544,['randomized by age'],['male'],['major urological surgery'],['19'],"['Eligibility of population under study: Patients suitable for surgery with curative intent, allocated operation date allowing potential for baseline assessment, 10 or more HIIT sessions, and reassessment within 72 hours before operation. Inclusion required written informed consent and medical screening against pre-defined inclusion and exclusion criteria including safety criteria as defined in ATS/ACCP cardiopulmonary exercise test (CPET) guidelines.']",
38104066,['aged 30-65'],,['lung cancer'],85 patients,"['34', 'The eligibility of the population under study includes 85 patients aged 30-65 years, ASA II-III, with adequate language skills and cognitive function. Exclusion criteria are moderate to severe pulmonary insufficiency preoperatively, FEV1 < 50%, temperature > 37.5oC and antioxidant agents intake, pacemaker fitting, acupoint stimulation or acupuncture received, and infected or injured stimulation site.']",
38102816,['older than 18 years'],,['Lung cancer'],56 patients,"['The eligibility criteria for the population under study include: patients diagnosed with NSCLC, having received chemotherapy treatment, age older than 18 years, CPSS score >29, ECOG score ≤1, life expectancy of at least 6 months, and agreement to participate. Exclusion criteria are surgical treatment, psychiatric disorders, severe dysfunction, or other malignancies.', '56']",
